Date,PX_Last,30MA,Bank,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
9/2/2005,3.5210000000000004,3.6587,1.0,0.9623636809999999,10.9761,0,0.38682182,,,,,,,,,,,,,,,,
10/2/2005,3.534,3.6507,1.0,0.968033528,10.9521,0,0.389608259,,,,,,,,,,,,,,,,
11/2/2005,3.554,3.643533333,1.0,0.975426784,10.9306,0,0.393253368,,,,,,,,,,,,,,,,
14/2/2005,3.58,3.638666667,1.0,0.983876878,10.915999999999999,0,0.39743586799999997,,,,,,,,,,,,,,,,
15/2/2005,3.6039999999999996,3.6342,1.0,0.9916900559999999,10.9026,0,0.401318744,,,,,,,,,,,,,,,,
16/2/2005,3.636,3.630633333,1.0,1.001478163,10.8919,0,0.40620446299999996,,,,,,,,,,,,,,,,
17/2/2005,3.6660000000000004,3.629066667,1.0,1.0101770890000001,10.8872,0,0.41056664299999995,,,,,,,,,,,,,,,,
18/2/2005,3.759,3.630933333,1.0,1.035271005,10.8928,0,0.423257969,,,,,,,,,,,,,,,,
21/2/2005,3.802,3.6347333330000002,1.0,1.046018965,10.9042,0,0.428743441,,,,,,,,,,,,,,,,
22/2/2005,3.798,3.6381666669999997,1.0,1.043932384,10.9145,0,0.427676149,,,,,,,,,,,,,,,,
23/2/2005,3.795,3.641366667,1.0,1.0421911190000002,10.9241,0,0.426786358,,,,,,,,,,,,,,,,
24/2/2005,3.827,3.646966667,1.0,1.049365226,10.9409,0,0.43045744399999997,,,,,,,,,,,,,,,,
25/2/2005,3.813,3.6522666669999997,1.0,1.0440091999999999,10.9568,0,0.42771542,,,,,,,,,,,,,,,,
28/2/2005,3.799,3.657666667,1.0,1.038640299,10.972999999999999,0,0.42497433100000004,,,,,,,,,,,,,,,,
1/3/2005,3.8339999999999996,3.664366667,1.0,1.046292674,10.9931,0,0.428883529,,,,,,,,,,,,,,,,
2/3/2005,3.8789999999999996,3.6733,1.0,1.055998693,11.0199,0,0.43386391,,,,,,,,,,,,,,,,
3/3/2005,3.8689999999999998,3.6802333330000003,1.0,1.051292038,11.0407,0,0.431445719,,,,,,,,,,,,,,,,
4/3/2005,3.803,3.684966667,1.0,1.032031045,11.0549,0,0.421610265,,,,,,,,,,,,,,,,
7/3/2005,3.775,3.6897,1.0,1.023118411,11.0691,0,0.41709164,,,,,,,,,,,,,,,,
8/3/2005,3.822,3.695833333,1.0,1.034137542,11.0875,0,0.42268123,,,,,,,,,,,,,,,,
9/3/2005,3.875,3.703366667,1.0,1.046345217,11.1101,0,0.428910423,,,,,,,,,,,,,,,,
10/3/2005,3.89,3.710266667,1.0,1.04844216,11.1308,0,0.429984343,,,,,,,,,,,,,,,,
11/3/2005,3.883,3.718466667,1.0,1.044247629,11.1554,0,0.427837325,,,,,,,,,,,,,,,,
14/3/2005,3.886,3.726833333,1.0,1.042708287,11.1805,0,0.42705055,,,,,,,,,,,,,,,,
15/3/2005,3.824,3.7336,1.0,1.024212556,11.2008,0,0.41764526399999996,,,,,,,,,,,,,,,,
16/3/2005,3.7739999999999996,3.7382,1.0,1.009576802,11.2146,0,0.41026501,,,,,,,,,,,,,,,,
17/3/2005,3.7769999999999997,3.7425,1.0,1.0092184370000001,11.2275,0,0.41008498200000004,,,,,,,,,,,,,,,,
18/3/2005,3.803,3.7497,1.0,1.01421447,11.2491,0,0.41259772,,,,,,,,,,,,,,,,
21/3/2005,3.827,3.758266667,1.0,1.018288573,11.2748,0,0.41465146,,,,,,,,,,,,,,,,
22/3/2005,3.783,3.7664,1.0,1.004407392,11.2992,0,0.407671236,,,,,,,,,,,,,,,,
