Date,ust3myieldzc,15MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2004-12-21,2.2230000000000003,2.228733333333333,0.9974275373156654,11.143666666666665,0.0,0.22250064235338832,,,,,,,,,,,,,,,,
2004-12-22,2.1919999999999997,2.2266666666666666,0.9844311377245508,11.133333333333333,0.0,0.2192588908187274,,,,,,,,,,,,,,,,
2004-12-23,2.1919999999999997,2.2246,0.9853456801222692,11.123,0.0,0.21948666590814325,,,,,,,,,,,,,,,,
2004-12-24,2.1959999999999997,2.2234,0.9876765314383376,11.117,0.0,0.2200674203198316,,,,,,,,,,,,,,,,
2004-12-27,2.259,2.224733333333333,1.0154025950675736,11.123666666666667,0.0,0.227001632916026,,,,,,,,,,,,,,,,
2004-12-28,2.2640000000000002,2.2254666666666667,1.0173147205080582,11.127333333333334,0.0,0.2274816273012973,,,,,,,,,,,,,,,,
2004-12-29,2.233,2.2248,1.003685724559511,11.124,0.0,0.22406540723271648,,,,,,,,,,,,,,,,
2004-12-30,2.234,2.224133333333333,1.0044361848810022,11.120666666666667,0.0,0.22425321298130108,,,,,,,,,,,,,,,,
2004-12-31,2.227,2.2222666666666666,1.002129957400852,11.111333333333333,0.0,0.22367618248722526,,,,,,,,,,,,,,,,
2005-01-03,2.2680000000000002,2.223933333333333,1.0198147426481612,11.119666666666665,0.0,0.22810954714770915,,,,,,,,,,,,,,,,
2005-01-04,2.356,2.232133333333333,1.0554925034346814,11.160666666666666,0.0,0.2371138083719805,,,,,,,,,,,,,,,,
2005-01-05,2.325,2.2396666666666665,1.0381009078731955,11.198333333333332,0.0,0.2327144334051479,,,,,,,,,,,,,,,,
2005-01-06,2.316,2.2472,1.0306158775364898,11.235999999999999,0.0,0.2308269626500793,,,,,,,,,,,,,,,,
2005-01-07,2.329,2.2554,1.0326327924093288,11.277,0.0,0.2313352096222676,,,,,,,,,,,,,,,,
2005-01-10,2.34,2.2635999999999994,1.033751546209578,11.317999999999998,0.0,0.2316172383605917,,,,,,,,,,,,,,,,
2005-01-11,2.356,2.2724666666666664,1.0367588816851,11.362333333333332,0.0,0.2323757577059708,,,,,,,,,,,,,,,,
2005-01-12,2.335,2.282,1.0232252410166522,11.409999999999998,0.0,0.2289667837230697,,,,,,,,,,,,,,,,
2005-01-13,2.346,2.292266666666666,1.0234411354118198,11.46133333333333,0.0,0.22902107401326474,,,,,,,,,,,,,,,,
2005-01-14,2.37,2.303866666666666,1.028705364893802,11.51933333333333,0.0,0.2303457663347813,,,,,,,,,,,,,,,,
