Date,PX_Last,30MA,Bank's Rate,S/S_A,S_U,S_L,Band Width,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2005-02-09,2.081,2.0621,1.0,1.009165413898453,3.608675,0.515525,1.546575,0.7054430173460711,,,,,,,,,,,,,,,,
2005-02-10,2.08,2.063066666666667,1.0,1.00820784592516,3.6103666666666654,0.5157666666666667,1.5473,0.7041512989647826,,,,,,,,,,,,,,,,
2005-02-11,2.077,2.0639,1.0,1.006347206744513,3.611825,0.5159750000000001,1.5479249999999998,0.7016461369160915,,,,,,,,,,,,,,,,
2005-02-14,2.0780000000000003,2.0647333333333338,1.0,1.006425365664654,3.6132833333333343,0.5161833333333334,1.5485500000000003,0.7017512437998982,,,,,,,,,,,,,,,,
2005-02-15,2.079,2.0656666666666665,1.0,1.0064547361626597,3.6149166666666654,0.5164166666666667,1.5492499999999998,0.7017907436385401,,,,,,,,,,,,,,,,
2005-02-16,2.0780000000000003,2.0664,1.0,1.005613627564847,3.6162000000000014,0.5166,1.5498000000000005,0.7006601692668417,,,,,,,,,,,,,,,,
2005-02-17,2.082,2.0673,1.0,1.0071107241329271,3.617775,0.5168249999999999,1.550475,0.7026733765367027,,,,,,,,,,,,,,,,
2005-02-18,2.074,2.0679333333333334,1.0,1.002933685805474,3.6188833333333337,0.5169833333333334,1.55095,0.6970664318755412,,,,,,,,,,,,,,,,
2005-02-21,2.072,2.0685333333333333,1.0,1.0016759056336213,3.619933333333333,0.5171333333333332,1.5514,0.6953842217165609,,,,,,,,,,,,,,,,
2005-02-22,2.08,2.0691333333333333,1.0,1.0052517962431935,3.620983333333333,0.5172833333333333,1.55185,0.7001742073738616,,,,,,,,,,,,,,,,
2005-02-23,2.075,2.0695,1.0,1.0026576467745834,3.621625,0.5173749999999999,1.5521250000000002,0.6966970027628117,,,,,,,,,,,,,,,,
2005-02-24,2.077,2.0704,1.0,1.0031877897990724,3.6232000000000006,0.5176000000000001,1.5528000000000002,0.6974066255283712,,,,,,,,,,,,,,,,
2005-02-25,2.079,2.071333333333333,1.0,1.0037013196009013,3.6248333333333336,0.5178333333333334,1.5535,0.6980944911454665,,,,,,,,,,,,,,,,
2005-02-28,2.081,2.0722333333333336,1.0,1.0042305403188183,3.626408333333334,0.5180583333333333,1.5541750000000003,0.6988038699277005,,,,,,,,,,,,,,,,
2005-03-01,2.0780000000000003,2.073,1.0,1.0024119633381574,3.62775,0.5182500000000001,1.55475,0.6963683139619155,,,,,,,,,,,,,,,,
2005-03-02,2.085,2.0739333333333336,1.0,1.005336076376611,3.6293833333333336,0.5184833333333334,1.5554500000000002,0.7002873797214717,,,,,,,,,,,,,,,,
2005-03-03,2.073,2.0743,1.0,0.9993732825531504,3.630025,0.518575,1.555725,0.6923119062362236,,,,,,,,,,,,,,,,
2005-03-04,2.076,2.0746666666666664,1.0,1.000642673521851,3.6306666666666665,0.5186666666666666,1.5559999999999998,0.6940044459360638,,,,,,,,,,,,,,,,
2005-03-07,2.071,2.0750666666666664,1.0,0.9980402236072736,3.631366666666666,0.5187666666666666,1.5562999999999998,0.6905375534105003,,,,,,,,,,,,,,,,
2005-03-08,2.071,2.075333333333333,1.0,0.997911982010922,3.6318333333333332,0.5188333333333333,1.5564999999999998,0.6903670247914744,,,,,,,,,,,,,,,,
2005-03-09,2.075,2.0756666666666663,1.0,0.9996788180504258,3.6324166666666655,0.5189166666666667,1.5567499999999996,0.6927190296302048,,,,,,,,,,,,,,,,
2005-03-10,2.076,2.076033333333333,1.0,0.9999839437388612,3.633058333333333,0.5190083333333333,1.557025,0.6931257724409154,,,,,,,,,,,,,,,,
2005-03-11,2.0780000000000003,2.0764,1.0,1.0007705644384512,3.6337,0.5190999999999999,1.5573,0.6941751279681627,,,,,,,,,,,,,,,,
2005-03-14,2.089,2.0772,1.0,1.005680724051608,3.6351,0.5192999999999999,1.5579,0.7007503099697793,,,,,,,,,,,,,,,,
2005-03-15,2.0780000000000003,2.0775,1.0,1.0002406738868834,3.635625,0.5193750000000001,1.558125,0.6934681305747361,,,,,,,,,,,,,,,,
2005-03-16,2.084,2.0779,1.0,1.0029356561913472,3.636325,0.5194749999999999,1.5584250000000002,0.6970690693769706,,,,,,,,,,,,,,,,
2005-03-17,2.088,2.0782,1.0,1.0047156192859206,3.63685,0.51955,1.55865,0.6994545224676337,,,,,,,,,,,,,,,,
2005-03-18,2.092,2.078733333333333,1.0,1.0063820916583817,3.6377833333333336,0.5196833333333335,1.55905,0.7016930482333624,,,,,,,,,,,,,,,,
2005-03-21,2.103,2.0797000000000003,1.0,1.0112035389719671,3.639475000000001,0.5199250000000002,1.559775,0.7081979289390704,,,,,,,,,,,,,,,,
2005-03-22,2.099,2.0803000000000003,1.0,1.0089890881122914,3.640525,0.5200750000000001,1.5602250000000002,0.7052050360082959,,,,,,,,,,,,,,,,
2005-03-23,2.107,2.081166666666667,1.0,1.0124129094258023,3.642041666666667,0.5202916666666666,1.5608750000000002,0.7098362169341076,,,,,,,,,,,,,,,,
2005-03-24,2.105,2.0820000000000003,1.0,1.0110470701248797,3.6435,0.5205000000000002,1.5615,0.7079861625209819,,,,,,,,,,,,,,,,
2005-03-25,2.108,2.0830333333333337,1.0,1.011985725944536,3.6453083333333343,0.5207583333333334,1.5622750000000003,0.7092572211383048,,,,,,,,,,,,,,,,
2005-03-28,2.106,2.083966666666667,1.0,1.0105727858730944,3.6469416666666654,0.5209916666666667,1.5629750000000002,0.7073445355754618,,,,,,,,,,,,,,,,
2005-03-29,2.102,2.0847333333333338,1.0,1.0082824342042145,3.6482833333333335,0.5211833333333336,1.5635500000000002,0.7042518554736054,,,,,,,,,,,,,,,,
2005-03-30,2.096,2.0853333333333333,1.0,1.0051150895140666,3.649333333333333,0.5213333333333332,1.564,0.69999066321362,,,,,,,,,,,,,,,,
2005-03-31,2.087,2.0855,1.0,1.0007192519779426,3.649625,0.5213749999999999,1.5641250000000002,0.6941066433344368,,,,,,,,,,,,,,,,
2005-04-01,2.085,2.085866666666667,1.0,0.9995845052416259,3.650266666666667,0.5214666666666667,1.5644000000000002,0.6925933409462567,,,,,,,,,,,,,,,,
2005-04-04,2.088,2.0864,1.0,1.0007668711656443,3.6512,0.5215999999999998,1.5648,0.6941701985519799,,,,,,,,,,,,,,,,
2005-04-05,2.091,2.0867666666666667,1.0,1.0020286567736372,3.651841666666667,0.5216916666666667,1.565075,0.6958557210444185,,,,,,,,,,,,,,,,
2005-04-06,2.088,2.0872,1.0,1.0003832886163282,3.6526,0.5217999999999998,1.5654,0.6936583626797029,,,,,,,,,,,,,,,,
2005-04-07,2.0780000000000003,2.0872333333333333,1.0,0.9955762812015908,3.652658333333332,0.5218083333333332,1.5654249999999996,0.68726621565235,,,,,,,,,,,,,,,,
2005-04-08,2.079,2.0872333333333333,1.0,0.9960553843205524,3.652658333333332,0.5218083333333332,1.5654249999999996,0.6879014757862604,,,,,,,,,,,,,,,,
2005-04-11,2.076,2.087066666666666,1.0,0.9946975020762796,3.6523666666666657,0.5217666666666665,1.5652999999999997,0.686102058582246,,,,,,,,,,,,,,,,
2005-04-12,2.076,2.087,1.0,0.9947292764734074,3.6522499999999978,0.5217499999999997,1.5652499999999991,0.6861441279062365,,,,,,,,,,,,,,,,
2005-04-13,2.071,2.086533333333332,1.0,0.9925554348520677,3.651433333333332,0.521633333333333,1.5648999999999993,0.6832700337075224,,,,,,,,,,,,,,,,
2005-04-14,2.075,2.086599999999999,1.0,0.994440716955814,3.651549999999998,0.5216499999999997,1.5649499999999992,0.6857621398336576,,,,,,,,,,,,,,,,
2005-04-15,2.075,2.0865666666666653,1.0,0.9944566033515992,3.6514916666666632,0.5216416666666663,1.564924999999999,0.6857831660630451,,,,,,,,,,,,,,,,
2005-04-18,2.08,2.086866666666665,1.0,0.9967095805513856,3.6520166666666647,0.5217166666666664,1.5651499999999992,0.6887695504483633,,,,,,,,,,,,,,,,
2005-04-19,2.075,2.087,1.0,0.9942501197891715,3.6522499999999978,0.5217499999999997,1.5652499999999991,0.6855099119344471,,,,,,,,,,,,,,,,
2005-04-20,2.077,2.087066666666665,1.0,0.9951766434549292,3.6523666666666648,0.5217666666666663,1.5652999999999992,0.6867366300562859,,,,,,,,,,,,,,,,
2005-04-21,2.077,2.0870999999999977,1.0,0.9951607493651484,3.652424999999997,0.5217749999999997,1.5653249999999992,0.6867155735769032,,,,,,,,,,,,,,,,
2005-04-22,2.076,2.0870333333333315,1.0,0.9947133890210992,3.6523083333333313,0.5217583333333331,1.5652749999999989,0.6861230926870552,,,,,,,,,,,,,,,,
2005-04-25,2.075,2.0865666666666653,1.0,0.9944566033515992,3.6514916666666632,0.5216416666666663,1.564924999999999,0.6857831660630451,,,,,,,,,,,,,,,,
2005-04-26,2.079,2.0865999999999985,1.0,0.9963577111089821,3.651549999999997,0.5216499999999997,1.5649499999999987,0.6883025495705521,,,,,,,,,,,,,,,,
2005-04-27,2.072,2.0861999999999985,1.0,0.9931933659284832,3.6508499999999975,0.5215499999999995,1.5646499999999992,0.6841126034403178,,,,,,,,,,,,,,,,
2005-04-28,2.071,2.085633333333332,1.0,0.992983745944478,3.6498583333333294,0.5214083333333329,1.5642249999999986,0.6838356622116059,,,,,,,,,,,,,,,,
2005-04-29,2.07,2.0848999999999984,1.0,0.9928533742625552,3.6485749999999975,0.5212249999999996,1.5636749999999988,0.6836634592287106,,,,,,,,,,,,,,,,
2005-05-02,2.065,2.0836333333333314,1.0,0.9910572877505646,3.6463583333333314,0.5209083333333329,1.562724999999999,0.6812940904755065,,,,,,,,,,,,,,,,
2005-05-03,2.063,2.082433333333332,1.0,0.99066796856242,3.6442583333333305,0.5206083333333329,1.5618249999999991,0.6807812462774504,,,,,,,,,,,,,,,,
2005-05-04,2.065,2.0810333333333317,1.0,0.992295494225626,3.64180833333333,0.5202583333333328,1.5607749999999985,0.6829269115237315,,,,,,,,,,,,,,,,
2005-05-05,2.073,2.0799666666666647,1.0,0.9966505873491572,3.639941666666663,0.5199916666666662,1.5599749999999986,0.6886912394930819,,,,,,,,,,,,,,,,
2005-05-06,2.07,2.0786999999999978,1.0,0.9958146918747302,3.637724999999997,0.5196749999999994,1.5590249999999988,0.6875822825336546,,,,,,,,,,,,,,,,
2005-05-09,2.067,2.0773999999999977,1.0,0.9949937421777232,3.635449999999997,0.5193499999999995,1.5580499999999986,0.6864943493692989,,,,,,,,,,,,,,,,
2005-05-10,2.064,2.076133333333332,1.0,0.9941558024532794,3.6332333333333295,0.5190333333333328,1.5570999999999988,0.6853851200509612,,,,,,,,,,,,,,,,
2005-05-11,2.062,2.074999999999998,1.0,0.993734939759037,3.631249999999997,0.5187499999999994,1.5562499999999986,0.6848284635753231,,,,,,,,,,,,,,,,
2005-05-12,2.066,2.0742999999999983,1.0,0.9959986501470384,3.630024999999997,0.5185749999999996,1.5557249999999987,0.6878262288280306,,,,,,,,,,,,,,,,
2005-05-13,2.065,2.073633333333331,1.0,0.9958366152807482,3.6288583333333295,0.5184083333333329,1.5552249999999983,0.6876113519472771,,,,,,,,,,,,,,,,
2005-05-16,2.069,2.0729999999999977,1.0,0.9980704293294752,3.627749999999996,0.5182499999999994,1.5547499999999983,0.6905777235496993,,,,,,,,,,,,,,,,
2005-05-17,2.07,2.0722999999999976,1.0,0.9988901220865716,3.626524999999996,0.5180749999999994,1.5542249999999982,0.6916684372220931,,,,,,,,,,,,,,,,
2005-05-18,2.059,2.0713333333333317,1.0,0.9940457032507252,3.6248333333333296,0.5178333333333329,1.5534999999999983,0.6852394667735382,,,,,,,,,,,,,,,,
2005-05-19,2.0540000000000003,2.070533333333331,1.0,0.9920149397900716,3.623433333333328,0.5176333333333327,1.5528999999999982,0.6825567111277466,,,,,,,,,,,,,,,,
2005-05-20,2.051,2.0695999999999977,1.0,0.9910127560881342,3.621799999999996,0.5173999999999994,1.5521999999999982,0.6812354162761307,,,,,,,,,,,,,,,,
2005-05-23,2.056,2.068933333333331,1.0,0.9937487916478712,3.6206333333333296,0.5172333333333328,1.5516999999999983,0.6848467799255299,,,,,,,,,,,,,,,,
2005-05-24,2.052,2.068133333333331,1.0,0.992199084520664,3.619233333333328,0.5170333333333328,1.5510999999999984,0.6827996804313973,,,,,,,,,,,,,,,,
2005-05-25,2.046,2.0672999999999977,1.0,0.9896967058482088,3.617774999999996,0.5168249999999994,1.5504749999999985,0.6795029621653214,,,,,,,,,,,,,,,,
2005-05-26,2.051,2.066499999999998,1.0,0.9924993951125102,3.6163749999999957,0.5166249999999994,1.5498749999999983,0.6831960511757564,,,,,,,,,,,,,,,,
2005-05-27,2.051,2.065699999999998,1.0,0.9928837682141658,3.614974999999996,0.5164249999999995,1.5492749999999984,0.6837036027896041,,,,,,,,,,,,,,,,
2005-05-30,2.049,2.064666666666665,1.0,0.9924120116241532,3.6131666666666633,0.5161666666666662,1.5484999999999989,0.6830807001806496,,,,,,,,,,,,,,,,
2005-05-31,2.049,2.063799999999998,1.0,0.9928287624769851,3.611649999999997,0.5159499999999995,1.5478499999999984,0.6836309537869283,,,,,,,,,,,,,,,,
2005-06-01,2.042,2.0626333333333315,1.0,0.9899966062799987,3.6096083333333295,0.5156583333333329,1.5469749999999989,0.6798974883988406,,,,,,,,,,,,,,,,
2005-06-02,2.049,2.061699999999998,1.0,0.9938400349226376,3.6079749999999957,0.5154249999999996,1.5462749999999983,0.6849674392759503,,,,,,,,,,,,,,,,
2005-06-03,2.051,2.0608666666666653,1.0,0.9952123702002404,3.6065166666666633,0.5152166666666662,1.5456499999999986,0.6867839624427627,,,,,,,,,,,,,,,,
2005-06-06,2.048,2.0599666666666647,1.0,0.994190844512048,3.604941666666664,0.5149916666666661,1.5449749999999989,0.6854314826098172,,,,,,,,,,,,,,,,
2005-06-07,2.041,2.0586999999999978,1.0,0.9914023412833352,3.602724999999996,0.5146749999999995,1.5440249999999982,0.6817488441615616,,,,,,,,,,,,,,,,
2005-06-08,2.041,2.0576666666666643,1.0,0.9919002105945256,3.6009166666666625,0.5144166666666661,1.5432499999999982,0.6824053618206233,,,,,,,,,,,,,,,,
2005-06-09,2.041,2.0566666666666644,1.0,0.9923824959481372,3.599166666666662,0.5141666666666662,1.5424999999999982,0.6830417408762289,,,,,,,,,,,,,,,,
2005-06-10,2.05,2.055999999999998,1.0,0.9970817120622578,3.5979999999999963,0.5139999999999993,1.5419999999999985,0.6892636805335489,,,,,,,,,,,,,,,,
2005-06-13,2.041,2.0551999999999966,1.0,0.9930906967691719,3.596599999999996,0.5137999999999994,1.5413999999999979,0.6839769516222475,,,,,,,,,,,,,,,,
