Date,PX_Last,15MA,Bank's Rate,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2009-03-09,0.67,0.7405333333333329,0.5,0.9047533309326616,1.2033666666666665,0.0,0.8136693454994621,0.0038390259091159997,0.037685462257153995,0.01042572153246,0.017251048053532406,0.0581198764607756,3.614662269639639,0.934334098489282,0.02178476970679,0.8916359498639735,0.9770322471145904,42.88932639935377,0.023252975818221,0.000612619950857,0.02205224071454128,0.02445371092190072,37.95660880073289
2009-03-10,0.669,0.7313333333333331,0.5,0.9147675478577943,1.1884166666666662,0.0,0.8276707809279169,0.0037936956432249994,0.038137593017050005,0.010411018624111,0.017731996513792446,0.05854318952030756,3.663195158322653,0.9340488760444281,0.02152091550401,0.8918678816565684,0.9762298704322876,43.401911776030424,0.023249985137643,0.0006125054676740001,0.02204947442100196,0.024450495854284042,37.95882055701597
2009-03-11,0.66,0.7194666666666664,0.5,0.917346182357302,1.169133333333333,0.0,0.8313080787809091,0.0038076129032600004,0.037944925981252,0.010395871290493,0.01756901825188572,0.058320833710618275,3.649999593199281,0.934579839157836,0.021621900141075,0.8922009148813291,0.9769587634343432,43.22376077310769,0.023240285004936,0.000612216911655,0.0220403398580922,0.0244402301517798,37.96086740255562
2009-03-12,0.606,0.7065999999999998,0.5,0.8576280781205776,1.1482249999999996,0.0,0.7502915062580752,0.004134072362478,0.035822882701291,0.010480896850693,0.015280324873932716,0.05636544052864927,3.417921501529084,0.9308315081596608,0.023138529580524,0.8854799901818338,0.9761830261374878,40.22863704109975,0.023481986607649,0.0006187950754859999,0.02226914825969644,0.02469482495560156,37.947920948146674
2009-03-13,0.5589999999999999,0.6894666666666663,0.5,0.8107716109069816,1.1203833333333328,0.0,0.6910221918341118,0.004595140890972,0.032726114214205,0.010476459991722,0.012192252630429884,0.05325997579798012,3.1237759930418747,0.926606456801859,0.025515459635063,0.8765961559171356,0.9766167576865824,36.315491472806244,0.023608820678398,0.0006221536731130001,0.02238939947909652,0.02482824187769948,37.94692806402696
2009-03-16,0.5770000000000001,0.676133333333333,0.5,0.8533819759416293,1.098716666666666,0.0,0.7447734546759408,0.004243794091838,0.035680561053498004,0.010468706774859,0.01516189577477436,0.05619922633222165,3.408306471930684,0.929597884801915,0.023466161647135,0.8836042079735303,0.9755915616302996,39.61439875768507,0.023728514385174,0.0006252646794450001,0.0225029956134618,0.0249540331568862,37.94955187013975
2009-03-17,0.563,0.6604666666666664,0.5,0.8524275764610884,1.073258333333333,0.0,0.7435373382324648,0.004299481911021,0.035194422641705,0.010420007503911,0.014771207934039438,0.055617637349370565,3.37758131445636,0.9296386193418248,0.023774800292805,0.883040010767927,0.9762372279157224,39.10184766612635,0.023720948998761,0.000624958196667,0.022496030933293682,0.024945867064228317,37.95605710154185
2009-03-18,0.409,0.6375999999999997,0.5,0.6414680050188208,1.0360999999999996,0.0,0.5021129257087312,0.009404003446561,0.020151047320498,0.011365081848238002,-0.0021245131020484823,0.042426607743044485,1.773066625439522,0.9076443501850572,0.047702485633354,0.8141474783436833,1.0011412220264309,19.027191940506007,0.026229683561317996,0.0006937224928370001,0.024869987475357482,0.02758937964727852,37.81005204841849
2009-03-19,0.386,0.6153999999999997,0.5,0.6272343191420218,1.0000249999999995,0.0,0.487744634739021,0.011328615779268,0.016856259708089,0.010969356906941,-0.00464367982951536,0.03835619924569336,1.536667997138741,0.8991722989472539,0.058249509283278,0.7850032607520291,1.0133413371424789,15.436564359270726,0.02620719172485,0.000692079370648,0.02485071615837992,0.027563667291320083,37.8673210563932
2009-03-20,0.41,0.5957333333333331,0.5,0.6882273948075204,0.9680666666666664,0.0,0.5508225258706815,0.00767381199742,0.024956798249436998,0.010772439082874,0.003842817647003959,0.04607077885187004,2.316726793016839,0.91315326574663,0.037905772222254,0.8388579521910122,0.9874485793022478,24.09008476050828,0.026448548667569002,0.0006978437025210001,0.025080775010627842,0.02781632232451016,37.90039026219093
