Date,Price,1MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2017-03-17,-0.327,-0.327,1.0,0.5,-0.5,0.1899505839584458,0.319695004231093,0.002388615324934,0.002370024786026,-0.00225663325567696,0.00703386390554496,1.007844027209234,0.17480276514017906,0.343747159627231,-0.4989416677291938,0.8485471980095518,0.508521336815523,0.023107085794987003,0.000597693550565,0.021935606435879603,0.0242785651540944,38.66042351157425
2017-03-18,-0.29,-0.29,1.0,0.5,-0.5,0.23572233352106986,0.172642118836301,0.0029626813352049996,0.002400968062401,-0.00174321606710096,0.007668578737510959,1.233952829943715,0.267620905200417,0.230357782501074,-0.18388034850168802,0.7191221589025221,1.161761943941136,0.023399461490967003,0.000605274234972,0.022213123990421885,0.024585798991512118,38.65927234135052
2017-03-21,-0.294,-0.294,1.0,0.5,-0.5,0.2306718177350013,0.183428658007178,0.0028665972181109996,0.002401390254268,-0.00184012768025428,0.007573322116476278,1.1937240159179523,0.260294250747302,0.241071162913028,-0.21220522856223284,0.7327937300568368,1.079740304074482,0.023398025794813,0.000605237318899,0.02221176064977096,0.02458429093985504,38.659258218552274
2017-03-22,-0.29,-0.29,1.0,0.5,-0.5,0.23572233352106986,0.17159358812127806,0.002974564584867,0.0024024425341020003,-0.00173422278197292,0.0076833519517069205,1.238141825514812,0.268152633148897,0.22826740429851505,-0.17925147927619245,0.7155567455739864,1.174730286056184,0.023398243589745002,0.000605244147434,0.022211965060774358,0.02458452211871564,38.65918190030103
2017-03-23,-0.293,-0.293,1.0,0.5,-0.5,0.2319320573472892,0.17574034506224498,0.0029544756258529994,0.002403380436186,-0.0017561500290715606,0.00766510128077756,1.2293000231547218,0.263633056824395,0.231450958008673,-0.19001082087260407,0.7172769345213941,1.1390450015528408,0.023399461957194,0.0006052762699149999,0.0222131204681606,0.0245858034462274,38.659143138859065
2017-03-24,-0.29100000000000004,-0.2910000000000001,0.9999999999999998,0.5,-0.5,0.2344573112144832,0.17130317769959805,0.002989566944817,0.002404281237514,-0.0017228242807104392,0.007701958170344441,1.243434793804676,0.267313556340149,0.22656810080727,-0.17675992124210022,0.7113870339223982,1.1798375648985968,0.023400618624036,0.000605306346792,0.022214218184323682,0.024587019063748317,38.659133095238225
2017-03-26,-0.293,-0.29300000000000004,0.9999999999999998,0.5,-0.5,0.2319320573472892,0.174571495880309,0.002967468794214,0.002405192314784,-0.0017467081427626398,0.007681645731190641,1.233776100137491,0.264271631743677,0.22919676455278304,-0.18495402677977774,0.7134972902671317,1.153033867032692,0.02340103228513,0.0006053175776719999,0.022214609832892883,0.02458745473736712,38.65909920399983
2017-03-27,-0.29100000000000004,-0.2910000000000001,0.9999999999999998,0.5,-0.5,0.2344573112144832,0.169389185374323,0.003015351941397,0.0024062605670640003,-0.0017009187700484404,0.00773162265284244,1.253127771227031,0.26805008016535503,0.223427074414293,-0.1698669856866592,0.7059671460173693,1.199720673369777,0.023401829479794,0.000605338956148,0.02221536512574392,0.02458829383384408,38.659050837725395
2017-03-28,-0.29,-0.29000000000000004,0.9999999999999998,0.5,-0.5,0.23572233352106986,0.16687794140135098,0.003039106065363,0.002407298661534,-0.00167919931124364,0.00775741144196964,1.26245493088377,0.269966066356393,0.22039821715977104,-0.16201443927675824,0.7019465719895441,1.224901316514228,0.023402215832791003,0.000605349639513,0.022215730539345526,0.024588701126236484,38.65900680408154
2017-03-29,-0.287,-0.287,1.0,0.5,-0.5,0.239527030564734,0.163097031175885,0.003057764607525,0.002408416844914,-0.0016627324085064395,0.007778261623556441,1.269616019329575,0.27458285755531603,0.2166083027141,-0.14996941576432002,0.699135130874952,1.26764696511997,0.023404089944986,0.000605398375967,0.02221750912809068,0.02459067076188132,38.6589903014016
