Date,GTFRF2Y,30MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2005-02-11,2.494,2.3434,1.064265596995818,4.393875,0.2929249999999999,0.7694305596528528,,,,,,,,,,,,,,,,
2005-02-14,2.513,2.3481666666666663,1.070196607282277,4.4028125,0.29352083333333345,0.7767730519774381,,,,,,,,,,,,,,,,
2005-02-15,2.545,2.353333333333333,1.081444759206799,4.4125,0.2941666666666665,0.7908479127476286,,,,,,,,,,,,,,,,
2005-02-16,2.5540000000000003,2.3591,1.0826162519604936,4.4233125,0.2948874999999997,0.7923252620971493,,,,,,,,,,,,,,,,
2005-02-17,2.5639999999999996,2.3664,1.083502366463827,4.436999999999999,0.29579999999999984,0.7934441774478695,,,,,,,,,,,,,,,,
2005-02-18,2.614,2.3755333333333333,1.1003844750652487,4.454125,0.29694166666666666,0.8150042575193579,,,,,,,,,,,,,,,,
2005-02-21,2.634,2.3858333333333333,1.1040167656304578,4.473437499999998,0.2982291666666668,0.8197044388960553,,,,,,,,,,,,,,,,
2005-02-22,2.6180000000000003,2.3953,1.0929737402413064,4.491187499999999,0.29941249999999986,0.8054827466819688,,,,,,,,,,,,,,,,
2005-02-23,2.603,2.404233333333333,1.0826736173693627,4.507937499999999,0.30052916666666674,0.7923976607116137,,,,,,,,,,,,,,,,
2005-02-24,2.616,2.4151333333333325,1.083170011317526,4.528374999999999,0.3018916666666667,0.7930243589005034,,,,,,,,,,,,,,,,
2005-02-25,2.62,2.425866666666666,1.0800263823238434,4.548499999999999,0.303233333333333,0.7890621381268831,,,,,,,,,,,,,,,,
2005-02-28,2.617,2.4365333333333328,1.074066980409325,4.5684999999999985,0.30456666666666665,0.7815937443310548,,,,,,,,,,,,,,,,
2005-03-01,2.611,2.4468333333333327,1.0670935222396298,4.587812499999998,0.3058541666666668,0.7729247604415506,,,,,,,,,,,,,,,,
2005-03-02,2.62,2.4575,1.066124109867752,4.6078125,0.30718749999999995,0.7717255730836211,,,,,,,,,,,,,,,,
2005-03-03,2.5980000000000003,2.4666,1.0532717100462177,4.624874999999999,0.308325,0.7559612740057282,,,,,,,,,,,,,,,,
2005-03-04,2.5540000000000003,2.4748999999999994,1.0319608873085784,4.640437499999999,0.30936249999999976,0.7303577129677881,,,,,,,,,,,,,,,,
2005-03-07,2.52,2.482666666666666,1.0150375939849627,4.6549999999999985,0.3103333333333333,0.7104823925614915,,,,,,,,,,,,,,,,
2005-03-08,2.533,2.490733333333333,1.016969567195739,4.670124999999999,0.3113416666666664,0.7127314985897887,,,,,,,,,,,,,,,,
2005-03-09,2.563,2.4994999999999994,1.0254050810162036,4.686562499999999,0.3124374999999997,0.7226113969282341,,,,,,,,,,,,,,,,
2005-03-10,2.5669999999999997,2.5076333333333327,1.0236743808903483,4.701812499999999,0.3134541666666664,0.7205763803776395,,,,,,,,,,,,,,,,
2005-03-11,2.553,2.5165333333333333,1.0144908339514678,4.718499999999999,0.31456666666666644,0.7098467993197553,,,,,,,,,,,,,,,,
2005-03-14,2.571,2.525799999999999,1.0178953202945606,4.735874999999998,0.31572500000000003,0.7138110090982854,,,,,,,,,,,,,,,,
2005-03-15,2.546,2.534166666666666,1.0046695166063797,4.751562499999999,0.316770833333333,0.6984980614300632,,,,,,,,,,,,,,,,
2005-03-16,2.572,2.5429666666666657,1.011417111248018,4.768062499999998,0.3178708333333331,0.7062811823314928,,,,,,,,,,,,,,,,
2005-03-17,2.5839999999999996,2.5516666666666663,1.012671456564337,4.784374999999999,0.31895833333333323,0.707734727992961,,,,,,,,,,,,,,,,
2005-03-18,2.602,2.561833333333333,1.0156788758050876,4.803437499999999,0.32022916666666656,0.7112283798737598,,,,,,,,,,,,,,,,
2005-03-21,2.5860000000000003,2.5708666666666664,1.0058864714882143,4.820374999999999,0.3213583333333334,0.6998973074788702,,,,,,,,,,,,,,,,
2005-03-22,2.559,2.5713666666666666,0.9951906249594898,4.8213125,0.3214208333333333,0.6876658021827986,,,,,,,,,,,,,,,,
2005-03-23,2.5980000000000003,2.574033333333333,1.0093109387342825,4.826312499999999,0.32175416666666656,0.7038452744858193,,,,,,,,,,,,,,,,
2005-03-24,2.591,2.5773333333333333,1.005302638385929,4.8325,0.3221666666666665,0.6992257760000407,,,,,,,,,,,,,,,,
2005-03-25,2.59,2.5805333333333333,1.0036684923013333,4.8385,0.32256666666666645,0.6973485566232835,,,,,,,,,,,,,,,,
2005-03-28,2.591,2.583133333333332,1.0030453970629991,4.843374999999998,0.3228916666666666,0.6966337052158562,,,,,,,,,,,,,,,,
2005-03-29,2.5869999999999997,2.5845333333333325,1.0009543953776312,4.845999999999998,0.3230666666666666,0.6942385134215167,,,,,,,,,,,,,,,,
2005-03-30,2.548,2.5843333333333325,0.9859409260931256,4.845624999999998,0.3230416666666667,0.6772073837723441,,,,,,,,,,,,,,,,
2005-03-31,2.491,2.581899999999999,0.9647933692242152,4.841062499999999,0.3227374999999997,0.6536994263958482,,,,,,,,,,,,,,,,
2005-04-01,2.469,2.5770666666666657,0.9580660182119208,4.831999999999998,0.3221333333333334,0.6463355909407918,,,,,,,,,,,,,,,,
2005-04-04,2.458,2.5711999999999997,0.9559738643434976,4.820999999999998,0.3213999999999997,0.6440565057317635,,,,,,,,,,,,,,,,
