Date,GTFRF2Y,30MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2010-05-07,0.706,1.0257000000000056,0.6883104221507226,2.902731000000016,0.0,0.2786816717707373,0.005898921953446,0.053853121400647005,0.013409486611338998,0.027570527642422567,0.08013571515887144,4.016046472287035,0.417758125989324,0.010106345638063,0.3979496885387205,0.43756656343992745,41.336219930570685,0.023040092283232998,0.0006143711658350001,0.0218359247981964,0.0242442597682696,37.50191018799322
2010-05-10,0.75,1.0130000000000057,0.7403751233958498,2.866790000000016,0.0,0.30329214666616205,0.005625374918673,0.056710066309257,0.013326636415838,0.03058985893421452,0.08283027368429947,4.255392324042019,0.418277191014062,0.009621781758114999,0.3994184987681566,0.43713588325996733,43.47190588284653,0.023102974612173,0.000615779576428,0.021896046642374118,0.02430990258197188,37.51825409051853
2010-05-11,0.748,1.0003666666666724,0.7477258338609134,2.831037666666683,0.0,0.30681606610741197,0.005659847124444999,0.056349237600603,0.013236852014668002,0.030405007651853718,0.08229346754935228,4.256996870416056,0.41825262179392203,0.009679993820635,0.3992798339054774,0.43722540968236656,43.20794305698253,0.023099134322119998,0.000615432344781,0.02189288692634924,0.024305381717890758,37.5331821897097
2010-05-12,0.742,0.9880333333333392,0.7509868088121141,2.7961343333333493,0.0,0.3083833578316815,0.005702498478600001,0.055939069652529004,0.013153274539251001,0.03015865155559705,0.08171948774946096,4.252862622581014,0.417996747939192,0.009746111341148,0.3988943697105419,0.4370991261678421,42.88856686609113,0.023094398517809,0.0006150817136490001,0.02188883835905696,0.02429995867656104,37.5468787404074
2010-05-13,0.7090000000000001,0.9747333333333388,0.7273784282880748,2.7584953333333493,0.0,0.29709177800669706,0.005914748505010001,0.054041428772147,0.013069817343925,0.028424586778054,0.07965827076624,4.134826627647411,0.4173907334950109,0.010086721109383,0.3976207601206202,0.4371607068694016,41.380219495384814,0.023101115424235003,0.000615054532455,0.021895608540623203,0.024306622307846804,37.55945888576788
2010-05-14,0.6709999999999999,0.9601333333333388,0.6988612692681532,2.7171773333333493,0.0,0.2836202594226305,0.006228542207597,0.051431053983783,0.012964367766438,0.026020893161564515,0.07684121480600148,3.967108532429064,0.41679583941226794,0.010598365994726,0.39602304206260497,0.43756863676193103,39.326424433698094,0.023109875260908,0.0006150321370720001,0.021904412272246883,0.024315338249569118,37.575069444207095
2010-05-17,0.695,0.9462333333333388,0.7344911403107013,2.6778403333333487,0.0,0.30048029532151543,0.006058691818398999,0.052963124369433,0.012876266393035001,0.0277256422390844,0.0782006064997816,4.113236147248421,0.4170699601136889,0.010302198923237,0.3968776502241444,0.4372622700032334,40.483586389792436,0.023137193593601002,0.000615500406641,0.02193081279658464,0.024343574390617358,37.59086646243888
2010-05-18,0.6940000000000001,0.9311333333333388,0.7453282737882108,2.635107333333349,0.0,0.30566531426219096,0.0060577967896110006,0.05298239735681401,0.012795850689097998,0.02790253000618193,0.0780622647074461,4.140592028160625,0.416932181052524,0.010295329770382,0.3967533347025753,0.4371110274024727,40.49721479072585,0.023135871183034,0.000615248666475,0.021929983796743,0.024341758569325,37.60409805610753
2010-05-19,0.652,0.9159000000000056,0.7118681078720341,2.591997000000016,0.0,0.2897421943996605,0.006355391333021,0.05068674262732499,0.01271943964322,0.02575664092661379,0.0756168443280362,3.984982361572922,0.41607182546156196,0.010764788423814,0.3949728401508866,0.4371708107722375,38.65118468479496,0.023154344447909998,0.0006155637197560001,0.02194783955718824,0.02436084933863176,37.61486212521472
2010-05-20,0.611,0.9003333333333391,0.678637541651236,2.5479433333333494,0.0,0.2741753686620557,0.006748982406114,0.0479076276175,0.012613418311377,0.023185327727201083,0.07262992750779892,3.798147848175964,0.41512838454102097,0.011393362964926,0.39279739312976597,0.4374593759522759,36.4359834597534,0.023170888691225,0.000615751657,0.021964015443505003,0.024377761938945003,37.63024983827305
2010-05-21,0.696,0.8858000000000056,0.7857304131858157,2.5068140000000163,0.0,0.32523615622288404,0.0060935272938000004,0.054076578729124004,0.012683535511878999,0.029216849125841163,0.07893630833240682,4.263525629622607,0.41679993863784,0.010213361618092,0.3967817498663797,0.4368181274093003,40.80928045272916,0.023438661273924,0.00062298499743,0.0222176106789612,0.0246597118688868,37.62315524551133
2010-05-24,0.687,0.8702333333333391,0.7894434442869678,2.462760333333349,0.0,0.32705411958006264,0.006127867254056999,0.053745231221985,0.012639672903163,0.028971472331785517,0.07851899011218448,4.252106176619011,0.4168443935562629,0.010273857685382,0.3967076324929142,0.4369811546196116,40.57330813033838,0.023433740709987005,0.00062274053728,0.022213169256918203,0.02465431216305581,37.63002295040774
2010-05-25,0.6509999999999999,0.8542333333333391,0.7620868615132427,2.417480333333349,0.0,0.3137367585570782,0.006304026232791999,0.052376116088622,0.012598797290958001,0.02768247339834432,0.07706975877889967,4.157231430829505,0.41625652621328296,0.010542364636554,0.3955934915256371,0.4369195609009288,39.48417082539178,0.023446940133391003,0.0006229961736080001,0.022225867633119324,0.02466801263366268,37.635769089244796
2010-05-26,0.688,0.8399666666666723,0.8190801222270669,2.3771056666666825,0.0,0.3416844436409732,0.006087354744835,0.054492254785384005,0.012599169350895001,0.029797882857629805,0.0791866267131382,4.325067253859257,0.41682588417787003,0.010168159307428001,0.3968962919353111,0.4367554764204288,40.993248785289495,0.023517385088146,0.000624844074474,0.02229269070217696,0.02474207947411504,37.63720590285561
2010-05-27,0.735,0.8275000000000056,0.8882175226586043,2.341825000000016,0.0,0.37667035766748985,0.005926211840334,0.056355308066043,0.01264387630754,0.0315733105032646,0.0811373056288214,4.457122696813934,0.417609994093101,0.009885241897191,0.3982349199746065,0.4369850682115954,42.245804243976345,0.023619540116265002,0.000627656926002,0.02238933254130108,0.02484974769122892,37.631290499247626
2010-05-28,0.718,0.8161000000000056,0.8797941428746416,2.309563000000016,0.0,0.3723417768947803,0.005950932391842,0.056139181386647995,0.012639938231311,0.031364902453278436,0.08091346032001756,4.441412636620424,0.41749176661714704,0.009921971078135,0.3980447033040024,0.4369388299302917,42.077502880166435,0.023619978564813997,0.000627659253681,0.022389766427599243,0.02485019070202876,37.63184948887535
2010-05-31,0.7140000000000001,0.8048333333333388,0.887140194657273,2.277678333333349,0.0,0.37611569757240026,0.0059401283531819995,0.056250317708546,0.012635972607119,0.03148381139859276,0.08101682401849923,4.451601745073001,0.417451115592077,0.00990237474353,0.39804246109475816,0.4368597700893958,42.156667102992884,0.023620724439747002,0.0006276682094040001,0.02239049474931516,0.02485095413017884,37.632500875245775
2010-06-01,0.7070000000000001,0.7928000000000055,0.8917759838546861,2.243624000000016,0.0,0.37850461346049297,0.005942408781771,0.05621630290242599,0.012632136683707,0.03145731500236027,0.08097529080249173,4.450260815728448,0.417516586472351,0.009909433740681,0.39809409634061627,0.43693907660408576,42.13324367449053,0.023619965801024,0.0006276376431,0.022389796020547994,0.0248501355815,37.633124878153524
