Date,ust2yyield,15MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2004-12-21,3.0248,2.9615733333333334,1.0213490126869502,4.44236,0.0,1.1422486829965257,,,,,,,,,,,,,,,,
2004-12-22,2.9998,2.9612266666666667,1.0130261333141222,4.44184,0.0,1.125009927283539,,,,,,,,,,,,,,,,
2004-12-23,3.0089,2.9593,1.0167607204406448,4.43895,0.0,1.1327084532947902,,,,,,,,,,,,,,,,
2004-12-24,2.9922,2.9643999999999995,1.0093779516934291,4.446599999999999,0.0,1.117546314762154,,,,,,,,,,,,,,,,
2004-12-27,3.0514,2.973993333333333,1.0260278548035302,4.46099,0.0,1.1520718325302708,,,,,,,,,,,,,,,,
2004-12-28,3.0684,2.9830799999999997,1.028601311396275,4.47462,0.0,1.1575161785104155,,,,,,,,,,,,,,,,
2004-12-29,3.1025,2.997173333333333,1.0351420004626584,4.49576,0.0,1.1714884054791497,,,,,,,,,,,,,,,,
2004-12-30,3.0812,3.0076533333333333,1.024453172794737,4.511479999999999,0.0,1.1487550300267402,,,,,,,,,,,,,,,,
2004-12-31,3.0651,3.0165066666666664,1.0161091417003334,4.52476,0.0,1.131361005183332,,,,,,,,,,,,,,,,
2005-01-03,3.0896,3.025333333333333,1.0212428382547378,4.538,0.0,1.1420268874483008,,,,,,,,,,,,,,,,
2005-01-04,3.1962,3.04126,1.050945989491198,4.56189,0.0,1.2060772159169053,,,,,,,,,,,,,,,,
2005-01-05,3.2046,3.0594,1.0474602863306532,4.589099999999998,0.0,1.1983448627863134,,,,,,,,,,,,,,,,
2005-01-06,3.1556,3.070953333333333,1.0275636447313865,4.6064300000000005,0.0,1.1553173470732776,,,,,,,,,,,,,,,,
2005-01-07,3.1891,3.0836,1.034213257231807,4.625399999999999,0.0,1.1694924912554947,,,,,,,,,,,,,,,,
2005-01-10,3.2141,3.096233333333333,1.0380677597510954,4.644349999999998,0.0,1.1778021728930037,,,,,,,,,,,,,,,,
2005-01-11,3.2061,3.10832,1.0314575075925259,4.66248,0.0,1.1635935906827215,,,,,,,,,,,,,,,,
2005-01-12,3.2064,3.1220933333333334,1.0270032499562258,4.68314,0.0,1.1541318695653686,,,,,,,,,,,,,,,,
2005-01-13,3.1734,3.1330600000000004,1.0128755912749834,4.6995900000000015,0.0,1.1247008372376222,,,,,,,,,,,,,,,,
2005-01-14,3.2244,3.148540000000001,1.024093706924479,4.722810000000002,0.0,1.1479994155257225,,,,,,,,,,,,,,,,
2005-01-17,3.2246,3.1600866666666683,1.020415051907859,4.7401300000000015,0.0,1.1402993487243915,,,,,,,,,,,,,,,,
2005-01-18,3.2249,3.170520000000001,1.0171517605944762,4.7557800000000015,0.0,1.1335179869395389,,,,,,,,,,,,,,,,
2005-01-19,3.2165,3.1781200000000007,1.0120763218506537,4.7671800000000015,0.0,1.1230613907034228,,,,,,,,,,,,,,,,
2005-01-20,3.1833,3.184926666666668,0.9994892608725682,4.777390000000001,0.0,1.0975913317671544,,,,,,,,,,,,,,,,
2005-01-21,3.1419,3.1900466666666683,0.9849072218379248,4.785070000000001,0.0,1.0688733508809272,,,,,,,,,,,,,,,,
2005-01-24,3.1842,3.1963533333333336,0.9961977503530064,4.794530000000001,0.0,1.0910365578244892,,,,,,,,,,,,,,,,
2005-01-25,3.2098,3.1972600000000013,1.003922108305236,4.795890000000002,0.0,1.1064874329876324,,,,,,,,,,,,,,,,
