Date,PX_Last,90MA,Bank's Rate,SD,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2005-05-04,2.065,2.0747666666666658,1.0,0.013547488492131674,2.162825341865521,1.9867079914678096,0.5879668737188772,,,,,,,,,,,,,,,,
2005-05-05,2.073,2.07501111111111,1.0,0.01331289637443854,2.1615449375449605,1.9884772846772598,0.6701723830811327,,,,,,,,,,,,,,,,
2005-05-06,2.07,2.07521111111111,1.0,0.013099189495235737,2.1603558428301417,1.9900663793920776,0.6337440313696265,,,,,,,,,,,,,,,,
2005-05-09,2.0669999999999997,2.0753666666666657,1.0,0.012916354834945406,2.159322973093811,1.9914103602395208,0.5981506760270514,,,,,,,,,,,,,,,,
2005-05-10,2.064,2.07551111111111,1.0,0.012714160473393635,2.158153154188169,1.9928690680340515,0.5627429714075423,,,,,,,,,,,,,,,,
2005-05-11,2.062,2.075577777777777,1.0,0.012627111729024941,2.157654004016439,1.9935015515391148,0.5400580281675971,,,,,,,,,,,,,,,,
2005-05-12,2.066,2.0756999999999994,1.0,0.012479716877130207,2.156818159701346,1.994581840298653,0.580194771696667,,,,,,,,,,,,,,,,
2005-05-13,2.065,2.0758111111111104,1.0,0.012338642500916678,2.1560122873670693,1.995609934855152,0.5666908384446047,,,,,,,,,,,,,,,,
2005-05-16,2.069,2.075977777777777,1.0,0.012142650065668505,2.1549050032046217,1.997050552350932,0.6084313395174079,,,,,,,,,,,,,,,,
2005-05-17,2.07,2.0760666666666654,1.0,0.01206906053602423,2.1545155601508235,1.997617773182508,0.6186588937049311,,,,,,,,,,,,,,,,
2005-05-18,2.059,2.0760111111111104,1.0,0.012135800522461751,2.1548938145071115,1.9971284077151088,0.4978676821239801,,,,,,,,,,,,,,,,
2005-05-19,2.0540000000000003,2.076055555555554,1.0,0.012047462721448294,2.154364063244968,1.9977470478661403,0.4449992253151617,,,,,,,,,,,,,,,,
2005-05-20,2.051,2.076055555555554,1.0,0.012047462721448294,2.154364063244968,1.9977470478661403,0.4155460818492021,,,,,,,,,,,,,,,,
2005-05-23,2.056,2.0760777777777766,1.0,0.012008541199012896,2.154133295571361,1.9980222599841928,0.4642408072644175,,,,,,,,,,,,,,,,
2005-05-24,2.052,2.076044444444443,1.0,0.012071003926868063,2.1545059699690854,1.9975829189198009,0.4258345240114999,,,,,,,,,,,,,,,,
2005-05-25,2.046,2.075922222222221,1.0,0.012316409810382215,2.1559788859897053,1.9958655584547365,0.3755934597830003,,,,,,,,,,,,,,,,
2005-05-26,2.051,2.0757999999999983,1.0,0.012507064670283823,2.1570959203568427,1.9945040796431528,0.4268994217864917,,,,,,,,,,,,,,,,
2005-05-27,2.051,2.0756444444444417,1.0,0.012725574521944994,2.1583606788370853,1.9929282100518,0.4323690717496671,,,,,,,,,,,,,,,,
2005-05-30,2.049,2.0755333333333317,1.0,0.012912698315138216,2.15946587238173,1.9916007942849328,0.418453924143209,,,,,,,,,,,,,,,,
2005-05-31,2.049,2.0753777777777764,1.0,0.013144984491582577,2.1608201769730635,1.9899353785824896,0.424097617589318,,,,,,,,,,,,,,,,
2005-06-01,2.042,2.075122222222221,1.0,0.013561241976700129,2.163270295070772,1.98697414937367,0.3741433291438736,,,,,,,,,,,,,,,,
2005-06-02,2.049,2.0749444444444443,1.0,0.013795620167374343,2.1646159755323766,1.9852729133565101,0.4390263767366368,,,,,,,,,,,,,,,,
2005-06-03,2.051,2.0747666666666653,1.0,0.013998452295402641,2.1657566065867826,1.9837767267465485,0.4610827096129009,,,,,,,,,,,,,,,,
2005-06-06,2.048,2.0745777777777765,1.0,0.01424154936778505,2.1671478486683795,1.982007706887173,0.44074791372014055,,,,,,,,,,,,,,,,
2005-06-07,2.041,2.0742666666666656,1.0,0.014659695312886425,2.1695546862004282,1.9789786471329038,0.3936968827868839,,,,,,,,,,,,,,,,
2005-06-08,2.041,2.0739222222222207,1.0,0.015067424595816491,2.171860482095028,1.975983962349413,0.4033527259117458,,,,,,,,,,,,,,,,
2005-06-09,2.041,2.0734999999999983,1.0,0.015446862320728925,2.1739046050847364,1.9730953949152603,0.41272363827422825,,,,,,,,,,,,,,,,
2005-06-10,2.05,2.0732111111111102,1.0,0.015639333919067615,2.1748667815850493,1.9715554406371705,0.4874910817066839,,,,,,,,,,,,,,,,
2005-06-13,2.041,2.072844444444443,1.0,0.01599924380929101,2.1768395292048344,1.9688493596840515,0.4260165599146729,,,,,,,,,,,,,,,,
2005-06-14,2.036,2.0723444444444428,1.0,0.016433814131648853,2.179164236300161,1.9655246525887256,0.4002979300906311,,,,,,,,,,,,,,,,
2005-06-15,2.041,2.071899999999999,1.0,0.01673190564958662,2.180657386722312,1.963142613277686,0.44307458657446,,,,,,,,,,,,,,,,
2005-06-16,2.04,2.0714555555555543,1.0,0.017039275617826283,2.182210847071425,1.960700264039684,0.4431595724184483,,,,,,,,,,,,,,,,
2005-06-17,2.035,2.0709888888888868,1.0,0.017451198267960214,2.1844216776306284,1.957556100147145,0.4175853123011342,,,,,,,,,,,,,,,,
2005-06-20,2.037,2.070533333333332,1.0,0.017794006481584492,2.186194375463631,1.9548722912030323,0.4385610544466551,,,,,,,,,,,,,,,,
2005-06-21,2.0340000000000003,2.0700333333333316,1.0,0.018177183500201703,2.1881850260846427,1.9518816405820203,0.4269631619173176,,,,,,,,,,,,,,,,
2005-06-22,2.024,2.0694333333333317,1.0,0.018785366645344085,2.1915382165280684,1.947328450138595,0.3768160706642918,,,,,,,,,,,,,,,,
2005-06-23,2.023,2.0687777777777763,1.0,0.019356180625192274,2.1945929518415257,1.9429626037140264,0.3828360250650102,,,,,,,,,,,,,,,,
2005-06-24,2.019,2.068166666666665,1.0,0.02003788079280529,2.1984128918198995,1.9379204415134308,0.3728840714240271,,,,,,,,,,,,,,,,
2005-06-27,2.024,2.0676333333333314,1.0,0.020560723074185484,2.2012780333155373,1.9339886333511256,0.4106126565729546,,,,,,,,,,,,,,,,
2005-06-28,2.028,2.067055555555553,1.0,0.020932357254903836,2.2031158777124284,1.9309952333986784,0.4407976000798792,,,,,,,,,,,,,,,,
2005-06-29,2.028,2.066533333333332,1.0,0.02131050862316033,2.205051639383873,1.9280150272827887,0.4477082331481294,,,,,,,,,,,,,,,,
