Date,ust3myieldzc,90MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2005-04-05,2.787,2.5031666666666665,1.113389706371929,11.890041666666667,0.0,0.26709260828366577,,,,,,,,,,,,,,,,
2005-04-06,2.767,2.5092111111111106,1.102737026688335,11.918752777777774,0.0,0.2641676020711046,,,,,,,,,,,,,,,,
2005-04-07,2.7680000000000002,2.5152666666666663,1.100479737072279,11.947516666666665,0.0,0.2635488939047848,,,,,,,,,,,,,,,,
2005-04-08,2.781,2.5215666666666663,1.102885772072918,11.977441666666666,0.0,0.26420838564467103,,,,,,,,,,,,,,,,
2005-04-11,2.773,2.5274999999999994,1.0971315529179029,12.005624999999995,0.0,0.2626318831780311,,,,,,,,,,,,,,,,
2005-04-12,2.767,2.5332111111111097,1.0922895402848385,12.032752777777775,0.0,0.26130722383085003,,,,,,,,,,,,,,,,
2005-04-13,2.7769999999999997,2.539144444444444,1.093675472490734,12.06093611111111,0.0,0.2616862026639849,,,,,,,,,,,,,,,,
2005-04-14,2.778,2.5450777777777773,1.0915187049511696,12.089119444444444,0.0,0.2610965034554527,,,,,,,,,,,,,,,,
2005-04-15,2.7910000000000004,2.5510333333333333,1.094066456729953,12.11740833333333,0.0,0.2617931420624052,,,,,,,,,,,,,,,,
2005-04-18,2.89,2.5582222222222217,1.1296907574704658,12.151555555555555,0.0,0.2715851697443418,,,,,,,,,,,,,,,,
2005-04-19,2.911,2.565755555555555,1.1345585878970026,12.187338888888887,0.0,0.2729306641908082,,,,,,,,,,,,,,,,
2005-04-20,2.8689999999999998,2.5730555555555554,1.1150167332397714,12.222013888888887,0.0,0.2675401104388625,,,,,,,,,,,,,,,,
2005-04-21,2.891,2.5807,1.120238694927733,12.258324999999996,0.0,0.2689777281102616,,,,,,,,,,,,,,,,
2005-04-22,2.923,2.5886666666666662,1.1291527169714142,12.296166666666664,0.0,0.2714365635104777,,,,,,,,,,,,,,,,
2005-04-25,2.9010000000000002,2.5962666666666663,1.1173736647493842,12.332266666666666,0.0,0.2681887230422665,,,,,,,,,,,,,,,,
2005-04-26,2.911,2.6039111111111106,1.1179337065610708,12.368577777777775,0.0,0.2683429048752555,,,,,,,,,,,,,,,,
2005-04-27,2.88,2.6115555555555554,1.1027910142954394,12.404888888888884,0.0,0.26418240440564217,,,,,,,,,,,,,,,,
2005-04-28,2.88,2.6192,1.0995723885155777,12.441199999999995,0.0,0.2633003034827753,,,,,,,,,,,,,,,,
2005-04-29,2.903,2.6270555555555557,1.1050394400152266,12.478513888888884,0.0,0.264799072950429,,,,,,,,,,,,,,,,
2005-05-02,2.9019999999999997,2.634199999999999,1.1016627439070692,12.512449999999996,0.0,0.2638731005207864,,,,,,,,,,,,,,,,
2005-05-03,2.911,2.641388888888888,1.1020717215269749,12.546597222222214,0.0,0.2639852065340331,,,,,,,,,,,,,,,,
2005-05-04,2.8489999999999998,2.6482333333333323,1.0758115473208558,12.579108333333327,0.0,0.2568123389710624,,,,,,,,,,,,,,,,
2005-05-05,2.798,2.6544999999999987,1.0540591448483712,12.608874999999996,0.0,0.2509094667891917,,,,,,,,,,,,,,,,
2005-05-06,2.873,2.6616777777777765,1.0793943669615245,12.642969444444438,0.0,0.25778794696851903,,,,,,,,,,,,,,,,
2005-05-09,2.8739999999999997,2.668411111111109,1.0770454327793906,12.67495277777777,0.0,0.2571482206782222,,,,,,,,,,,,,,,,
2005-05-10,2.9,2.6744555555555545,1.0843328444834053,12.703663888888881,0.0,0.2591342650267928,,,,,,,,,,,,,,,,
2005-05-11,2.8689999999999998,2.680499999999999,1.0703227009886218,12.732374999999996,0.0,0.2553195601967843,,,,,,,,,,,,,,,,
2005-05-12,2.88,2.6867666666666654,1.0719203999851126,12.762141666666661,0.0,0.2557538498977157,,,,,,,,,,,,,,,,
2005-05-13,2.822,2.692244444444444,1.048196052859655,12.788161111111105,0.0,0.24932436393068,,,,,,,,,,,,,,,,
2005-05-16,2.823,2.69761111111111,1.0464814547850985,12.813652777777774,0.0,0.2488612921044453,,,,,,,,,,,,,,,,
2005-05-17,2.88,2.703433333333332,1.0653120106531206,12.841308333333327,0.0,0.2539587664521723,,,,,,,,,,,,,,,,
2005-05-18,2.859,2.709255555555554,1.0552714357777664,12.868963888888883,0.0,0.2512375266364065,,,,,,,,,,,,,,,,
2005-05-19,2.87,2.7150777777777764,1.0570599573574735,12.896619444444434,0.0,0.2517217177147629,,,,,,,,,,,,,,,,
2005-05-20,2.8930000000000002,2.7208888888888882,1.0632554720679523,12.924222222222214,0.0,0.25340079115125125,,,,,,,,,,,,,,,,
2005-05-23,2.9210000000000003,2.7268999999999988,1.0711797278961463,12.952774999999995,0.0,0.25555249549454506,,,,,,,,,,,,,,,,
2005-05-24,2.952,2.733433333333332,1.0799604892503938,12.983808333333327,0.0,0.25794219016619524,,,,,,,,,,,,,,,,
2005-05-25,2.9410000000000003,2.73971111111111,1.073470844452376,13.013627777777774,0.0,0.2561754751783425,,,,,,,,,,,,,,,,
2005-05-26,2.932,2.7460999999999984,1.067696005243801,13.043974999999993,0.0,0.25460597624391434,,,,,,,,,,,,,,,,
2005-05-27,2.9530000000000003,2.7526888888888874,1.072769251883008,13.075272222222214,0.0,0.2559846632452123,,,,,,,,,,,,,,,,
