Date,PX_Last,30MA,Bank's Rate,S/S_A,S_U,S_L,Band Width,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2019-11-04,-0.6940000000000001,-0.745399999999996,-0.5,0.9310437349074374,-0.2795249999999985,-1.2112749999999934,0.4658749999999975,0.8100518792338297,0.013485505172516999,0.07072026443620899,0.014214338717051004,0.04286016055078902,0.09858036832162896,4.975276433463393,0.7050172481038142,0.022602985243247997,0.6607153970270481,0.7493190991805803,31.191333379930658,0.051860346556855,0.001387718635937,0.04914041803041848,0.05458027508329152,37.37093760498293
2019-11-05,-0.685,-0.7422666666666625,-0.5,0.9228489312017296,-0.27834999999999843,-1.2061833333333265,0.463916666666664,0.8248992543426589,0.013539868180976005,0.070395984463109,0.014217685521251999,0.04252932084145508,0.09826264808476293,4.951297055901667,0.7054411497294519,0.022715977286562,0.6609178342477904,0.7499644652111135,31.05484482707089,0.051861079422714,0.0013877705162099999,0.0491410492109424,0.0545811096344856,37.3700686222674
2019-11-06,-0.68,-0.7392333333333292,-0.5,0.9198719393966774,-0.2772124999999984,-1.20125416666666,0.4620208333333307,0.8303480368277989,0.013517695479192,0.07045056287200299,0.014218454086563,0.042582392862339516,0.09831873288166648,4.9548679795352815,0.706030313294949,0.022713218086025003,0.66151240584634,0.7505482207435581,31.08455660580077,0.05186032481340702,0.001387753102871,0.049140328731779856,0.054580320895034166,37.36999377347332
2019-11-07,-0.643,-0.7344333333333293,-0.5,0.8755049244315394,-0.2754124999999985,-1.1934541666666598,0.4590208333333306,0.9152813925654196,0.013752877331158002,0.069342362002117,0.014243281262488004,0.04142553072764052,0.09725919327659348,4.868426082741242,0.70810309060259,0.023204399457448,0.6626224676659921,0.7535837135391881,30.51589815548156,0.051972587697358,0.0013909560289,0.049246313880714,0.054698861514002,37.36465180603431
2019-11-08,-0.6559999999999999,-0.7296666666666626,-0.5,0.8990406578346326,-0.27362499999999845,-1.1857083333333267,0.4560416666666641,0.8693295576978861,0.013693141465077,0.06979112876256599,0.014236415684052,0.04188775402182407,0.09769450350330793,4.902296358257206,0.7072662857019391,0.023017547571352003,0.6621518924620892,0.7523806789417892,30.72726507936964,0.051996382818107,0.0013915342560110002,0.04926897567632544,0.05472378995988856,37.36622551223165
2019-11-11,-0.652,-0.7243666666666626,-0.5,0.9000966361419221,-0.2716374999999985,-1.1770958333333268,0.4527291666666642,0.8673165158015574,0.013512606300766,0.070436019567961,0.014215154741643,0.04257431627434072,0.09829772286158127,4.954994922540118,0.7085141719603271,0.022822406378086003,0.6637822554592785,0.7532460884613756,31.04467426540232,0.051936326804735,0.0013897617615379998,0.04921239375212052,0.05466025985734948,37.37066901831104
2019-11-12,-0.662,-0.7195999999999959,-0.5,0.9199555308504778,-0.2698499999999985,-1.1693499999999937,0.4497499999999976,0.8301946337319027,0.013536627838116001,0.07039480051374801,0.014216528336063,0.04253040497506453,0.0982591960524315,4.951616797694345,0.707613257421141,0.022786215467499,0.662952275104843,0.7522742397374391,31.05444422881193,0.051934207877062995,0.0013897184810170002,0.04921035965426968,0.05465805609985632,37.37030814978605
2019-11-13,-0.679,-0.7156666666666625,-0.5,0.9487657196087621,-0.2683749999999984,-1.1629583333333264,0.44729166666666403,0.7786776712859962,0.013538081440611,0.070572787950774,0.014223293502838004,0.04269513268521151,0.09845044321633648,4.961775409942215,0.7062981316268341,0.02267834533942,0.6618485747615709,0.7507476884920973,31.144165107986808,0.051954267097379006,0.001390298450339,0.04922928213471457,0.05467925206004345,37.36914695164871
2019-11-14,-0.6920000000000001,-0.7116333333333292,-0.5,0.9724108857557788,-0.26686249999999845,-1.1564041666666598,0.4447708333333307,0.7382937027925421,0.013579012620016002,0.070458824173005,0.014218681338851003,0.042590208748857036,0.09832743959715297,4.9553698049679555,0.704857724767141,0.022650770754647002,0.660462214088033,0.7492532354462491,31.11848741935375,0.051937676756954015,0.001389831452957,0.049213607109158286,0.05466174640474974,37.36976641768589
2019-11-15,-0.685,-0.7073666666666625,-0.5,0.9683803779275304,-0.2652624999999984,-1.1494708333333266,0.4421041666666641,0.7450631901795988,0.013573205062482,0.070450540013886,0.014218234392021004,0.04258280060552483,0.09831827942224716,4.954942932536046,0.7052412246364109,0.022664322453578998,0.6608191526273961,0.7496632966454257,31.11680157573205,0.051937639728727995,0.001389828365969,0.049213576131428766,0.05466170332602724,37.36982277845984
