Date,Close,60MA,S/S_A,S_U,S_L,s
1990-03-27,21.01,22.3173334,0.9414207165090792,33.4760001,11.1586667,0.8177568526199821
1990-03-28,19.77,22.359500066666666,0.8841879264319031,33.5392501,11.179750033333333,0.9566234543577484
1990-03-29,18.459999,22.36400003333333,0.8254336868398114,33.54600005,11.182000016666667,1.1225965651553227
1990-03-30,19.73,22.37250005,0.8818862423021875,33.558750075,11.186250025,0.9626325097457556
1990-04-02,22.84,22.418000033333332,1.0188241576429296,33.62700005,11.209000016666666,0.6561902631618545
1990-04-03,20.440001,22.42100005,0.9116453750688076,33.63150007499999,11.210500024999998,0.8875930404063483
1990-04-04,22.030001,22.41816671666667,0.9826852158977796,33.627250075000006,11.209083358333334,0.7283905647155828
1990-04-05,21.209999,22.39766668333333,0.9469735977356468,33.596500025,11.198833341666667,0.8052557515813531
1990-04-06,21.76,22.4261667,0.9702951151254932,33.63925005,11.21308335,0.7543948768052704
1990-04-09,22.299999,22.387166699999998,0.9961063540925882,33.580750050000006,11.19358335,0.7009649516688921
1990-04-10,21.690001,22.309666716666666,0.9722243400344598,33.464500075,11.154833358333333,0.7503011096310944
1990-04-11,17.73,22.20216671666667,0.7985707082674273,33.303250075,11.101083358333335,1.2087484955829435
1990-04-12,19.799999,22.12950003333333,0.8947332280519469,33.19425005,11.064750016666665,0.9295451142678232
1990-04-16,20.75,22.069666700000006,0.9402045024993512,33.10450005000001,11.03483335,0.8205158816382428
1990-04-17,20.379999,22.03433335,0.9249201542101566,33.051500025,11.017166675,0.8558540001546495
1990-04-18,22.67,21.96716666666667,1.0319947193918195,32.950750000000006,10.983583333333335,0.6311217156449818
1990-04-19,22.459999,21.929500000000004,1.0241911124284635,32.89425000000001,10.964750000000002,0.6458989427797435
1990-04-20,23.33,21.895166683333336,1.0655319659091185,32.842750025,10.947583341666668,0.5699884582169663
1990-04-23,24.16,21.870666700000005,1.1046759722235626,32.80600005000001,10.935333350000002,0.5030625475287056
1990-04-24,21.700001,21.79433336666667,0.9956717021310254,32.69150005,10.897166683333333,0.7018414622685425
1990-04-25,20.860001,21.70133336666667,0.9612313053556902,32.552000050000004,10.850666683333335,0.773855614842946
1990-04-26,20.25,21.584666700000003,0.9381659805754607,32.37700005000001,10.792333350000002,0.8251574893039921
1990-04-27,22.190001,21.53183336666667,1.030567189617594,32.297750050000005,10.765916683333336,0.6338086755688968
1990-04-30,19.52,21.442666683333336,0.9103345347979614,32.16400002500001,10.721333341666668,0.8907825134490529
