Date,PX_Last,120MA,Bank's Rate,SD,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2005-06-15,2.15,2.383316666666667,1.0,0.14148857335095585,2.8077823867195346,1.9588509466137995,0.2551042719926848,,,,,,,,,,,,,,,,
2005-06-16,2.168,2.3805416666666672,1.0,0.14241575848159785,2.807788942111461,1.9532943912218736,0.2893717815633761,,,,,,,,,,,,,,,,
2005-06-17,2.16,2.3777250000000008,1.0,0.1434038564393112,2.8079365693179343,1.9475134306820672,0.2836314852081898,,,,,,,,,,,,,,,,
2005-06-20,2.112,2.374600000000001,1.0,0.1450648360791359,2.8097945082374087,1.9394054917625927,0.22101559847033567,,,,,,,,,,,,,,,,
2005-06-21,2.0540000000000003,2.370825000000001,1.0,0.1474449424078919,2.8131598272236764,1.928490172776325,0.15300197223388434,,,,,,,,,,,,,,,,
2005-06-22,2.002,2.366658333333334,1.0,0.15070785733958528,2.8187819053520897,1.9145347613145784,0.10173059893994664,,,,,,,,,,,,,,,,
2005-06-23,2.0180000000000002,2.3629750000000005,1.0,0.1537520982241648,2.824231294672495,1.9017187053275055,0.1347303553733603,,,,,,,,,,,,,,,,
2005-06-24,2.016,2.3593916666666668,1.0,0.15675678059940107,2.8296620084648705,1.889121324868464,0.1449098484604936,,,,,,,,,,,,,,,,
2005-06-27,1.9909999999999999,2.3557250000000005,1.0,0.16014821065188292,2.8361696319556486,1.875280368044352,0.12832181718319086,,,,,,,,,,,,,,,,
2005-06-28,2.022,2.35225,1.0,0.16280567404117052,2.8406670221235113,1.8638329778764888,0.1766393402331051,,,,,,,,,,,,,,,,
2005-06-29,2.02,2.3487250000000004,1.0,0.1653618740066762,2.8448106220200287,1.8526393779799721,0.18474190650963546,,,,,,,,,,,,,,,,
2005-06-30,2.005,2.345508333333333,1.0,0.1682375302874542,2.850220924195696,1.8407957424709709,0.17753827887812654,,,,,,,,,,,,,,,,
2005-07-01,2.051,2.342566666666667,1.0,0.17026301875497038,2.8533557229315782,1.8317776104017558,0.2415518254600274,,,,,,,,,,,,,,,,
2005-07-04,2.092,2.340025,1.0,0.1717018958592668,2.8551306875777995,1.8249193124222,0.3000899809202984,,,,,,,,,,,,,,,,
2005-07-05,2.155,2.33795,1.0,0.17241929754719018,2.8552078926415705,1.8206921073584288,0.3903114754831904,,,,,,,,,,,,,,,,
2005-07-06,2.167,2.3359999999999994,1.0,0.1730173883361626,2.8550521650084875,1.816947834991512,0.4112869129963115,,,,,,,,,,,,,,,,
2005-07-07,2.1180000000000003,2.3332999999999995,1.0,0.17386813010631502,2.8549043903189446,1.8116956096810544,0.3475984525823959,,,,,,,,,,,,,,,,
2005-07-08,2.145,2.3310333333333326,1.0,0.1745338999226856,2.8546350331013888,1.807431633565276,0.3891276609134628,,,,,,,,,,,,,,,,
2005-07-11,2.18,2.329191666666666,1.0,0.17495138828797188,2.8540458315305823,1.8043375018027503,0.4429695154476401,,,,,,,,,,,,,,,,
2005-07-12,2.187,2.327358333333333,1.0,0.17527881578755802,2.853194780696007,1.8015218859706592,0.4565553170852001,,,,,,,,,,,,,,,,
2005-07-13,2.204,2.3255166666666662,1.0,0.1754041990818788,2.8517292639123024,1.7993040694210298,0.4853796824691193,,,,,,,,,,,,,,,,
2005-07-14,2.219,2.3235749999999995,1.0,0.17528289812471667,2.8494236943741496,1.7977263056258497,0.5117685745456971,,,,,,,,,,,,,,,,
2005-07-15,2.2230000000000003,2.3220083333333332,1.0,0.1753346560073679,2.8480123013554373,1.7960043653112296,0.5206846053260503,,,,,,,,,,,,,,,,
2005-07-18,2.209,2.3202583333333333,1.0,0.17540583873944646,2.8464758495516724,1.7940408171149942,0.501345443491535,,,,,,,,,,,,,,,,
2005-07-19,2.226,2.318633333333333,1.0,0.17536827598577234,2.8447381612906497,1.7925285053760158,0.5309654857038028,,,,,,,,,,,,,,,,
2005-07-20,2.231,2.316925,1.0,0.1752150660616826,2.842570198185048,1.7912798018149518,0.5417438922923793,,,,,,,,,,,,,,,,
2005-07-21,2.218,2.314925,1.0,0.17496290856921587,2.8398137257076477,1.7900362742923526,0.5236928981208053,,,,,,,,,,,,,,,,
2005-07-22,2.1830000000000003,2.312875,1.0,0.1750554465733637,2.838041339720091,1.7877086602799088,0.4721638828111096,,,,,,,,,,,,,,,,
2005-07-25,2.184,2.3106500000000003,1.0,0.17498250626848327,2.83559751880545,1.7857024811945506,0.477018405103299,,,,,,,,,,,,,,,,
2005-07-26,2.211,2.30855,1.0,0.17465336383820318,2.8325100915146093,1.7845899084853905,0.5224105525774214,,,,,,,,,,,,,,,,
2005-07-27,2.206,2.3066083333333336,1.0,0.17448740622335848,2.8300705520034093,1.7831461146632581,0.5173486115401408,,,,,,,,,,,,,,,,
2005-07-28,2.227,2.305066666666667,1.0,0.17436665073599553,2.8281666188746533,1.7819667144586804,0.5540476073967461,,,,,,,,,,,,,,,,
2005-07-29,2.251,2.303725,1.0,0.17415797247039758,2.826198917411193,1.7812510825888073,0.5970063200261025,,,,,,,,,,,,,,,,
2005-08-01,2.289,2.3025333333333333,1.0,0.17376497217665968,2.8238282498633125,1.7812384168033542,0.6675174536988666,,,,,,,,,,,,,,,,
2005-08-02,2.303,2.3011916666666665,1.0,0.173133488761,2.8205921329496664,1.7817912003836671,0.6966348335435378,,,,,,,,,,,,,,,,
