Date,PX_Last,30MA,Bank's Rate,S/S_A,S_U,S_L,Band Width,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2013-04-10,1.334,1.4047666666666676,0.0,0.9496238995800008,2.4583416666666684,0.3511916666666668,1.0535750000000008,0.6281386443717565,0.010724939744242,0.071838780705465,0.014353024208554,0.043706853256699166,0.09997070815423084,5.005131995991052,0.680051059309067,0.019209998778624,0.6423994617029639,0.7177026569151701,35.40089029395385,0.045780197625646,0.001225751484172,0.04337772471666888,0.04818267053462312,37.34867811037807
2013-04-11,1.342,1.3998000000000008,0.0,0.9587083869124152,2.449650000000002,0.3499500000000002,1.0498500000000008,0.6395538234349183,0.010691706922803,0.07201368498003399,0.014355739585616001,0.04387643539222663,0.10015093456784137,5.016368857247146,0.6805077914667529,0.019176145766669997,0.6429225457640797,0.7180930371694261,35.48720372419897,0.045780189572451,0.001225760320595,0.0433776993440848,0.0481826798008172,37.3484022963158
2013-04-12,1.285,1.3938666666666677,0.0,0.9218959250047822,2.439266666666668,0.3484666666666669,1.0454000000000006,0.5940815461652571,0.010743043020026,0.071911172085376,0.014374970417790001,0.04373623006650759,0.1000861141042444,5.002526613646587,0.679773760710598,0.019203932894474,0.6421340522374289,0.7174134691837671,35.39763258109488,0.045832551508153,0.0012272793868180001,0.04342708390998972,0.04823801910631628,37.34483932545431
2013-04-15,1.274,1.3877000000000008,0.0,0.9180658643799088,2.428475000000001,0.3469250000000001,1.0407750000000011,0.5894671133208805,0.010777063777546,0.071708253477148,0.014371567881603,0.04353998042920612,0.09987652652508988,4.9895915371169295,0.679430929880051,0.019247318860506003,0.6417061849134593,0.7171556748466428,35.300029827747814,0.045828690858159,0.001227163582115,0.0434234502372136,0.0482339314791044,37.34521748042861
2013-04-16,1.311,1.381333333333334,0.0,0.9490830115830112,2.4173333333333344,0.3453333333333335,1.0360000000000005,0.6274630803275082,0.010718082040379,0.07214407648552901,0.014383299484227,0.04395280949644409,0.10033534347461392,5.015822451909821,0.680136707782073,0.019166358888314,0.6425706443609775,0.7177027712031685,35.48596328313335,0.04586558960715401,0.001228207793135,0.043458302332609416,0.04827287688169861,37.34350967604917
2013-04-17,1.261,1.3735333333333342,0.0,0.9180701839537924,2.4036833333333347,0.3433833333333336,1.0301500000000006,0.5894723055409291,0.010804036344245002,0.07177196019014599,0.014391204866231,0.04356519865233323,0.09997872172795877,4.987209956169831,0.679080657080306,0.019248574447123,0.6413534511639449,0.716807862996667,35.279529865745225,0.045894548083503,0.001229043484607,0.043485622853673286,0.04830347331333272,37.34167965438921
2013-04-18,1.273,1.3643666666666676,0.0,0.9330336419828484,2.3876416666666684,0.3410916666666668,1.0232750000000008,0.6076224705357003,0.010724879444563,0.072141278780379,0.014382979108963,0.04395063972681152,0.10033191783394647,5.015739662405699,0.6800122323128879,0.019167962980612997,0.6424430248708864,0.7175814397548893,35.47649966773518,0.045875043166829006,0.001228458597918,0.04346726431490973,0.04828282201874829,37.34358100842119
2013-04-19,1.293,1.3550000000000009,0.0,0.954243542435424,2.3712500000000016,0.3387500000000001,1.0162500000000008,0.6339272058940124,0.010655003769924,0.072568126290313,0.014391816401546999,0.044360166143280894,0.10077608643734512,5.042318791845513,0.68080355029652,0.019082742494085,0.6434013750081133,0.7182057255849266,35.67639978936798,0.04588710513078298,0.0012288188150459999,0.043478620253292834,0.048295590008273145,37.34244997628215
2013-04-22,1.261,1.3449666666666678,0.0,0.9375697043297224,2.3536916666666685,0.336241666666667,1.0087250000000008,0.6131902665108502,0.010630191531925,0.072758857281502,0.014402007912606,0.04453092177279423,0.10098679279020976,5.051993980493254,0.680764864780314,0.019032775175852,0.6434606254356441,0.7180691041249838,35.768029543271275,0.045892534367906,0.001229020795776,0.043483653608185034,0.04830141512762697,37.340730543880696
2013-04-23,1.291,1.3368333333333344,0.0,0.965714998129908,2.3394583333333347,0.3342083333333337,1.0026250000000008,0.6484479100048111,0.010652703810415,0.072606741547716,0.014410887689403,0.04436140167648612,0.10085208141894587,5.038325404555401,0.680902555544329,0.019077861234001,0.643509947525687,0.718295163562971,35.6907174862358,0.045897695162336,0.0012292147135030001,0.04348843432387012,0.048306956000801884,37.339038215327776
2013-04-24,1.274,1.3285000000000011,0.0,0.9589762890477976,2.3248750000000022,0.3321250000000002,0.9963750000000008,0.6398924438525705,0.01069149681142,0.072361261576461,0.014409562573377,0.044118518932642084,0.10060400422027993,5.021752826151425,0.680334850655939,0.019119573223953,0.6428604871369912,0.7178092141748869,35.583160915098674,0.045884254010208,0.001228854728726,0.04347569874190504,0.04829280927851096,37.339038486484476
2013-04-25,1.277,1.3202666666666678,0.0,0.967228842658048,2.3104666666666684,0.3300666666666669,0.9902000000000007,0.6503799977480205,0.01066848966436,0.072477699327517,0.014411984944883001,0.04423020883554634,0.10072518981948768,5.028987998856478,0.680728955043285,0.019100071802198998,0.643292814310975,0.7181650957755951,35.64012544523063,0.045885004380327006,0.001228884652397,0.043476390461628885,0.048293618299025134,37.33873988158712
