Date,PX_Last,120MA,Bank's Rate,SD,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2005-06-15,2.15,2.383316666666667,1.0,0.14148857335095585,3.1190572480916376,1.6475760852416963,0.4177010765627999,,,,,,,,,,,,,,,,
2005-06-16,2.168,2.3805416666666672,1.0,0.14241575848159785,3.121103610770976,1.6399797225623582,0.4408328441111671,,,,,,,,,,,,,,,,
2005-06-17,2.16,2.3777250000000008,1.0,0.1434038564393112,3.123425053484419,1.6320249465155825,0.43697592769789867,,,,,,,,,,,,,,,,
2005-06-20,2.112,2.374600000000001,1.0,0.1450648360791359,3.1289371476115075,1.6202628523884943,0.3944360016213943,,,,,,,,,,,,,,,,
2005-06-21,2.0540000000000003,2.370825000000001,1.0,0.1474449424078919,3.1375387005210387,1.604111299478963,0.34727310203170164,,,,,,,,,,,,,,,,
2005-06-22,2.002,2.366658333333334,1.0,0.15070785733958528,3.1503391914991767,1.5829774751674903,0.3110770531520968,,,,,,,,,,,,,,,,
2005-06-23,2.0180000000000002,2.3629750000000005,1.0,0.1537520982241648,3.1624859107656573,1.5634640892343437,0.3344365307942978,,,,,,,,,,,,,,,,
2005-06-24,2.016,2.3593916666666668,1.0,0.15675678059940107,3.1745269257835527,1.5442564075497818,0.3415966565982864,,,,,,,,,,,,,,,,
2005-06-27,1.9909999999999999,2.3557250000000005,1.0,0.16014821065188292,3.1884956953897916,1.5229543046102094,0.32991777457443355,,,,,,,,,,,,,,,,
2005-06-28,2.022,2.35225,1.0,0.16280567404117052,3.198839505014087,1.5056604949859134,0.36377537335497867,,,,,,,,,,,,,,,,
2005-06-29,2.02,2.3487250000000004,1.0,0.1653618740066762,3.2086067448347166,1.4888432551652842,0.36940495682573904,,,,,,,,,,,,,,,,
2005-06-30,2.005,2.345508333333333,1.0,0.1682375302874542,3.2203434908280952,1.4706731758385718,0.3644006334144854,,,,,,,,,,,,,,,,
2005-07-01,2.051,2.342566666666667,1.0,0.17026301875497038,3.2279343641925133,1.4571989691408211,0.4084818763479891,,,,,,,,,,,,,,,,
2005-07-04,2.092,2.340025,1.0,0.1717018958592668,3.232874858468187,1.4471751415318126,0.4480149489046295,,,,,,,,,,,,,,,,
2005-07-05,2.155,2.33795,1.0,0.17241929754719018,3.234530347245389,1.4413696527546107,0.5074537309652113,,,,,,,,,,,,,,,,
2005-07-06,2.167,2.3359999999999994,1.0,0.1730173883361626,3.235690419348045,1.436309580651954,0.5210086354893528,,,,,,,,,,,,,,,,
2005-07-07,2.1180000000000003,2.3332999999999995,1.0,0.17386813010631502,3.2374142765528378,1.4291857234471612,0.4795420849482796,,,,,,,,,,,,,,,,
2005-07-08,2.145,2.3310333333333326,1.0,0.1745338999226856,3.2386096129312985,1.4234570537353672,0.5066857222775883,,,,,,,,,,,,,,,,
2005-07-11,2.18,2.329191666666666,1.0,0.17495138828797188,3.2389388857641204,1.4194444475692125,0.5412913257170721,,,,,,,,,,,,,,,,
2005-07-12,2.187,2.327358333333333,1.0,0.17527881578755802,3.238808175428635,1.4159084912380315,0.5499177113705158,,,,,,,,,,,,,,,,
2005-07-13,2.204,2.3255166666666662,1.0,0.1754041990818788,3.237618501892436,1.4134148314408963,0.5680777925265136,,,,,,,,,,,,,,,,
2005-07-14,2.219,2.3235749999999995,1.0,0.17528289812471667,3.235046070248526,1.4121039297514728,0.5845330637125155,,,,,,,,,,,,,,,,
2005-07-15,2.2230000000000003,2.3220083333333332,1.0,0.1753346560073679,3.2337485445716463,1.4102681220950202,0.5900558053857909,,,,,,,,,,,,,,,,
2005-07-18,2.209,2.3202583333333333,1.0,0.17540583873944646,3.232368694778455,1.4081479718882115,0.5780530671953905,,,,,,,,,,,,,,,,
2005-07-19,2.226,2.318633333333333,1.0,0.17536827598577234,3.2305483684593486,1.4067182982073168,0.59640066818321,,,,,,,,,,,,,,,,
2005-07-20,2.231,2.316925,1.0,0.1752150660616826,3.2280433435207496,1.4058066564792502,0.6030257314956922,,,,,,,,,,,,,,,,
2005-07-21,2.218,2.314925,1.0,0.17496290856921587,3.2247321245599228,1.4051178754400775,0.5919149625889091,,,,,,,,,,,,,,,,
2005-07-22,2.1830000000000003,2.312875,1.0,0.1750554465733637,3.223163322181492,1.4025866778185088,0.5597755470855319,,,,,,,,,,,,,,,,
2005-07-25,2.184,2.3106500000000003,1.0,0.17498250626848327,3.220559032596113,1.4007409674038869,0.5628299268569322,,,,,,,,,,,,,,,,
2005-07-26,2.211,2.30855,1.0,0.17465336383820318,3.2167474919586563,1.4003525080413437,0.5911227205439499,,,,,,,,,,,,,,,,
2005-07-27,2.206,2.3066083333333336,1.0,0.17448740622335848,3.2139428456947976,1.3992738209718696,0.5879916282214405,,,,,,,,,,,,,,,,
2005-07-28,2.227,2.305066666666667,1.0,0.17436665073599553,3.2117732504938434,1.3983600828394902,0.6105546643656298,,,,,,,,,,,,,,,,
2005-07-29,2.251,2.303725,1.0,0.17415797247039758,3.2093464568460686,1.3981035431539326,0.6365592226721217,,,,,,,,,,,,,,,,
2005-08-01,2.289,2.3025333333333333,1.0,0.17376497217665968,3.206111188651964,1.3989554780147029,0.6782807401553258,,,,,,,,,,,,,,,,
2005-08-02,2.303,2.3011916666666665,1.0,0.173133488761,3.2014858082238664,1.4008975251094666,0.6951578033076042,,,,,,,,,,,,,,,,
