Date,Close,30MA,S/S_A,S_U,S_L,s,Leakage Ratio,% change,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2010-03-25,1.140729,1.0168472666666668,1.1218292435789603,1.779482716666667,0.2542118166666667,0.8704083524525587,,,,,,,,,,,,,,,,,
2010-03-26,1.146667,1.0262327000000002,1.1173557420261504,1.7959072250000003,0.25655817500000005,0.8633121166459848,,,,,,,,,,,,,,,,,
2010-03-29,1.162396,1.0360243666666669,1.1219774721514753,1.813042641666667,0.2590060916666667,0.8706443488952386,,,,,,,,,,,,,,,,,
2010-03-30,1.174583,1.0451007333333335,1.1238945323994602,1.8289262833333333,0.2612751833333334,0.8737015515860161,,,,,,,,,,,,,,,,,
2010-03-31,1.15875,1.0531389333333336,1.1002821786603143,1.8429931333333336,0.2632847333333334,0.8366822394742957,,,,,,,,,,,,,,,,,
2010-04-01,1.156458,1.0605208666666668,1.0904622778756576,1.8559115166666669,0.2651302166666667,0.8216812185029592,,,,,,,,,,,,,,,,,
2010-04-05,1.1898959999999998,1.0690174,1.1130744925199532,1.8707804500000005,0.26725435000000003,0.8565676810879529,,,,,,,,,,,,,,,,,
2010-04-06,1.198958,1.0780347333333329,1.1121701026206885,1.886560783333333,0.2695086833333333,0.8551487578222751,,,,,,,,,,,,,,,,,
2010-04-07,1.192188,1.0880347333333336,1.0957260494318777,1.9040607833333336,0.2720086833333334,0.8296942386800525,,,,,,,,,,,,,,,,,
2010-04-08,1.196458,1.0972777666666669,1.0903875357236343,1.9202360916666668,0.2743194416666667,0.8215678998636203,,,,,,,,,,,,,,,,,
2010-04-09,1.218021,1.1072569333333333,1.1000346562140892,1.9376996333333327,0.2768142333333333,0.8363013428744788,,,,,,,,,,,,,,,,,
2010-04-12,1.222917,1.1170173666666667,1.0948057178818555,1.9547803916666668,0.2792543416666667,0.8282885815154307,,,,,,,,,,,,,,,,,
2010-04-13,1.241354,1.1260625000000002,1.1023846367319752,1.9706093750000004,0.28151562500000005,0.8399234421771962,,,,,,,,,,,,,,,,,
2010-04-14,1.285104,1.1363715333333333,1.1308836611124775,1.9886501833333328,0.2840928833333333,0.8849271855589393,,,,,,,,,,,,,,,,,
2010-04-15,1.302292,1.1470729333333334,1.135317521803612,2.0073776333333333,0.2867682333333333,0.8921145482258871,,,,,,,,,,,,,,,,,
2010-04-16,1.255938,1.1558681,1.0865755357380311,2.022769175,0.288967025,0.8158053841665946,,,,,,,,,,,,,,,,,
2010-04-19,1.253958,1.1631354333333332,1.078084257485292,2.035487008333333,0.2907838583333333,0.8030874375909147,,,,,,,,,,,,,,,,,
2010-04-20,1.2725,1.1708368333333332,1.086829491328211,2.0489644583333333,0.2927092083333333,0.8161882524850544,,,,,,,,,,,,,,,,,
2010-04-21,1.2948959999999998,1.1786701666666666,1.0986075974604712,2.0626727916666665,0.29466754166666664,0.8341081575959995,,,,,,,,,,,,,,,,,
2010-04-22,1.314063,1.186277833333333,1.1077194254802876,2.0759862083333327,0.2965694583333333,0.8481951469088245,,,,,,,,,,,,,,,,,
2010-04-23,1.331458,1.1941319999999995,1.115000686691254,2.089731,0.29853299999999994,0.8595964696017439,,,,,,,,,,,,,,,,,
2010-04-26,1.3215629999999998,1.2015729999999998,1.0998607658461037,2.10275275,0.30039324999999995,0.8360338407489217,,,,,,,,,,,,,,,,,
2010-04-27,1.24,1.206541733333333,1.0277307164288725,2.1114480333333328,0.3016354333333333,0.7308223487980197,,,,,,,,,,,,,,,,,
2010-04-28,1.242917,1.2109202,1.026423541369613,2.11911035,0.30273005,0.7290141677766864,,,,,,,,,,,,,,,,,
